amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
2.501958, 3.099143, 0.845765, 2.240037, 9.440000, J
2.501958, 3.163841, 0.694426, 2.240037, 9.130000, J
2.501958, 3.230312, 0.547295, 2.240037, 8.930000, J
2.501958, 3.201066, 0.422884, 2.240037, 8.890000, J
2.501958, 3.141645, 0.373086, 2.240037, 8.790000, J
2.501958, 2.925780, 0.297280, 2.240037, 8.630000, J
2.501958, 2.797797, 0.275434, 2.240037, 8.590000, J
2.501958, 2.854810, 0.280421, 2.240037, 8.480000, J
2.501958, 2.800114, 0.270825, 2.240037, 8.460000, J
2.501958, 2.594425, 0.245462, 2.240037, 8.420000, J
2.501958, 2.484470, 0.228233, 2.240037, 8.300000, J
2.501958, 2.358996, 0.222112, 2.240037, 8.260000, J
2.501958, 2.375921, 0.241670, 2.240037, 8.150000, J
2.501958, 2.227626, 0.195325, 2.240037, 8.250000, J
2.501958, 2.126462, 0.171336, 2.240037, 8.090000, J
2.501958, 2.135155, 0.199819, 2.240037, 8.270000, J
2.501958, 1.949288, 0.168507, 2.240037, 8.420000, J
2.501958, 1.782034, 0.159760, 2.240037, 8.240000, J
2.501958, 1.678364, 0.170440, 2.240037, 8.120000, J
2.501958, 1.636008, 0.173359, 2.240037, 8.110000, J
2.501958, 1.629970, 0.176214, 2.240037, 8.080000, J
2.501958, 1.576013, 0.172543, 2.240037, 7.970000, J
2.501958, 1.483280, 0.168377, 2.240037, 7.960000, J
2.501958, 1.388813, 0.145081, 2.240037, 8.010000, J
2.501958, 1.253737, 0.121608, 2.240037, 8.090000, J
2.501958, 1.152542, 0.117357, 2.240037, 8.010000, J
2.501958, 1.056262, 0.117608, 2.240037, 7.940000, J
2.501958, 1.005730, 0.119804, 2.240037, 8.050000, J
2.501958, 1.019229, 0.124534, 2.240037, 8.020000, J
2.501958, 0.955685, 0.107407, 2.240037, 8.070000, J
2.501958, 0.901559, 0.094880, 2.240037, 7.990000, J
2.501958, 0.870556, 0.093999, 2.240037, 7.980000, J
2.501958, 0.792092, 0.080525, 2.240037, 8.020000, J
2.501958, 0.730594, 0.079401, 2.240037, 8.000000, J
2.501958, 0.667837, 0.076273, 2.240037, 8.040000, J
