amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
1.044679, 2.983970, 0.886667, 1.912332, 9.440000, B
1.044679, 3.028379, 0.733949, 1.912332, 9.130000, B
1.044679, 2.996809, 0.566046, 1.912332, 8.930000, B
1.044679, 2.936496, 0.411016, 1.912332, 8.890000, B
1.044679, 3.056993, 0.384856, 1.912332, 8.790000, B
1.044679, 3.042094, 0.316013, 1.912332, 8.630000, B
1.044679, 2.947759, 0.279515, 1.912332, 8.590000, B
1.044679, 2.794944, 0.269493, 1.912332, 8.480000, B
1.044679, 2.703095, 0.264373, 1.912332, 8.460000, B
1.044679, 2.666788, 0.270956, 1.912332, 8.420000, B
1.044679, 2.528024, 0.270048, 1.912332, 8.300000, B
1.044679, 2.478259, 0.298512, 1.912332, 8.260000, B
1.044679, 2.311064, 0.244811, 1.912332, 8.150000, B
1.044679, 2.167391, 0.233697, 1.912332, 8.250000, B
1.044679, 1.989428, 0.199616, 1.912332, 8.090000, B
1.044679, 1.887664, 0.191473, 1.912332, 8.270000, B
1.044679, 1.893697, 0.233014, 1.912332, 8.420000, B
1.044679, 1.877945, 0.214028, 1.912332, 8.240000, B
1.044679, 1.793243, 0.184320, 1.912332, 8.120000, B
1.044679, 1.775525, 0.176029, 1.912332, 8.110000, B
1.044679, 1.631955, 0.142112, 1.912332, 8.080000, B
1.044679, 1.474710, 0.145593, 1.912332, 7.970000, B
1.044679, 1.330290, 0.137095, 1.912332, 7.960000, B
1.044679, 1.213342, 0.133976, 1.912332, 8.010000, B
1.044679, 1.127179, 0.130794, 1.912332, 8.090000, B
1.044679, 1.139155, 0.153959, 1.912332, 8.010000, B
1.044679, 1.122434, 0.141066, 1.912332, 7.940000, B
1.044679, 1.127209, 0.124474, 1.912332, 8.050000, B
1.044679, 1.047067, 0.114295, 1.912332, 8.020000, B
1.044679, 0.940553, 0.088407, 1.912332, 8.070000, B
1.044679, 0.859883, 0.082132, 1.912332, 7.990000, B
1.044679, 0.792585, 0.077897, 1.912332, 7.980000, B
1.044679, 0.739784, 0.081792, 1.912332, 8.020000, B
1.044679, 0.709871, 0.082456, 1.912332, 8.000000, B
1.044679, 0.711088, 0.078556, 1.912332, 8.040000, B
1.044679, 0.691131, 0.076359, 1.912332, 8.070000, B
1.044679, 0.648708, 0.063341, 1.912332, 7.920000, B
1.044679, 0.597513, 0.049848, 1.912332, 7.970000, B
1.044679, 0.554294, 0.051067, 1.912332, 8.110000, B
1.044679, 0.517648, 0.049801, 1.912332, 8.070000, B
1.044679, 0.498506, 0.055119, 1.912332, 7.960000, B
1.044679, 0.495081, 0.060803, 1.912332, 7.990000, B
1.044679, 0.443353, 0.052631, 1.912332, 8.070000, B
1.044679, 0.403378, 0.048098, 1.912332, 7.930000, B
1.044679, 0.369585, 0.044988, 1.912332, 8.060000, B
1.044679, 0.342017, 0.041163, 1.912332, 7.990000, B
1.044679, 0.328554, 0.039892, 1.912332, 7.840000, B
1.044679, 0.335131, 0.045059, 1.912332, 7.930000, B
1.044679, 0.334927, 0.038225, 1.912332, 8.090000, B
1.044679, 0.314600, 0.033111, 1.912332, 8.030000, B
1.044679, 0.289421, 0.028346, 1.912332, 8.120000, B
1.044679, 0.264159, 0.026430, 1.912332, 8.100000, B
1.044679, 0.239424, 0.023710, 1.912332, 8.010000, B
1.044679, 0.226972, 0.025011, 1.912332, 7.980000, B
1.044679, 0.216182, 0.024086, 1.912332, 7.930000, B
1.044679, 0.205317, 0.023458, 1.912332, 8.120000, B
1.044679, 0.194638, 0.023727, 1.912332, 8.090000, B
1.044679, 0.190430, 0.024825, 1.912332, 7.940000, B
1.044679, 0.180218, 0.020696, 1.912332, 8.020000, B
1.044679, 0.170023, 0.019656, 1.912332, 8.010000, B
1.044679, 0.158179, 0.017582, 1.912332, 8.130000, B
1.044679, 0.146679, 0.016378, 1.912332, 7.970000, B
1.044679, 0.137815, 0.015069, 1.912332, 8.090000, B
1.044679, 0.132960, 0.014542, 1.912332, 7.990000, B
1.044679, 0.130274, 0.013819, 1.912332, 8.070000, B
1.044679, 0.122409, 0.012243, 1.912332, 7.970000, B
1.044679, 0.111820, 0.010575, 1.912332, 7.900000, B
1.044679, 0.105067, 0.010578, 1.912332, 8.130000, B
1.044679, 0.098331, 0.010035, 1.912332, 8.040000, B
1.044679, 0.093432, 0.011270, 1.912332, 8.140000, B
1.044679, 0.088083, 0.011028, 1.912332, 8.130000, B
1.044679, 0.081839, 0.008938, 1.912332, 8.130000, B
1.044679, 0.079429, 0.009140, 1.912332, 8.130000, B
1.044679, 0.082473, 0.010204, 1.912332, 8.170000, B
1.044679, 0.074253, 0.008287, 1.912332, 8.180000, B
1.044679, 0.067036, 0.007025, 1.912332, 8.200000, B
1.044679, 0.061477, 0.006816, 1.912332, 8.030000, B
1.044679, 0.055690, 0.006336, 1.912332, 8.070000, B
1.044679, 0.052342, 0.006573, 1.912332, 8.130000, B
1.044679, 0.051906, 0.006840, 1.912332, 8.070000, B
1.044679, 0.053083, 0.006813, 1.912332, 8.030000, B
1.044679, 0.049646, 0.005098, 1.912332, 8.150000, B
1.044679, 0.046240, 0.004196, 1.912332, 8.130000, B
1.044679, 0.043840, 0.004423, 1.912332, 8.170000, B
1.044679, 0.041544, 0.004080, 1.912332, 8.150000, B
1.044679, 0.040704, 0.004092, 1.912332, 8.240000, B
1.044679, 0.039013, 0.003777, 1.912332, 8.150000, B
1.044679, 0.036426, 0.003290, 1.912332, 8.070000, B
1.044679, 0.034189, 0.003173, 1.912332, 8.110000, B
1.044679, 0.033067, 0.003466, 1.912332, 8.010000, B
1.044679, 0.031705, 0.003441, 1.912332, 8.220000, B
1.044679, 0.029864, 0.003069, 1.912332, 8.120000, B
1.044679, 0.027194, 0.002785, 1.912332, 8.100000, B
1.044679, 0.025514, 0.002812, 1.912332, 8.100000, B
1.044679, 0.023943, 0.002647, 1.912332, 8.130000, B
1.044679, 0.023816, 0.002691, 1.912332, 8.340000, B
1.044679, 0.022521, 0.002359, 1.912332, 8.210000, B
1.044679, 0.021080, 0.002273, 1.912332, 8.180000, B
1.044679, 0.019628, 0.002015, 1.912332, 8.100000, B
1.044679, 0.019023, 0.001992, 1.912332, 8.070000, B
1.044679, 0.018086, 0.002047, 1.912332, 8.150000, B
1.044679, 0.017186, 0.001858, 1.912332, 8.050000, B
1.044679, 0.016579, 0.001845, 1.912332, 8.010000, B
1.044679, 0.015868, 0.001720, 1.912332, 8.020000, B
1.044679, 0.015573, 0.001567, 1.912332, 8.070000, B
1.044679, 0.014595, 0.001331, 1.912332, 8.130000, B
1.044679, 0.013965, 0.001317, 1.912332, 8.020000, B
1.044679, 0.012746, 0.001168, 1.912332, 8.060000, B
1.044679, 0.011610, 0.001040, 1.912332, 8.080000, B
1.044679, 0.010707, 0.001071, 1.912332, 8.150000, B
1.044679, 0.010374, 0.001210, 1.912332, 8.140000, B
1.044679, 0.010256, 0.001224, 1.912332, 8.030000, B
1.044679, 0.010093, 0.001056, 1.912332, 7.930000, B
1.044679, 0.009394, 0.000915, 1.912332, 7.950000, B
1.044679, 0.008632, 0.000823, 1.912332, 8.060000, B
1.044679, 0.008064, 0.000833, 1.912332, 8.000000, B
1.044679, 0.007583, 0.000894, 1.912332, 8.040000, B
1.044679, 0.007346, 0.000794, 1.912332, 8.090000, B
1.044679, 0.007124, 0.000781, 1.912332, 8.010000, B
1.044679, 0.006791, 0.000731, 1.912332, 8.030000, B
1.044679, 0.006272, 0.000656, 1.912332, 8.110000, B
1.044679, 0.005704, 0.000582, 1.912332, 8.040000, B
1.044679, 0.005337, 0.000603, 1.912332, 8.010000, B
1.044679, 0.005117, 0.000635, 1.912332, 8.100000, B
1.044679, 0.004939, 0.000636, 1.912332, 8.100000, B
1.044679, 0.004697, 0.000524, 1.912332, 8.300000, B
1.044679, 0.004398, 0.000460, 1.912332, 8.270000, B
1.044679, 0.004111, 0.000449, 1.912332, 8.100000, B
1.044679, 0.003948, 0.000454, 1.912332, 8.050000, B
1.044679, 0.003706, 0.000435, 1.912332, 8.020000, B
1.044679, 0.003435, 0.000393, 1.912332, 8.050000, B
1.044679, 0.003229, 0.000369, 1.912332, 8.110000, B
1.044679, 0.003173, 0.000364, 1.912332, 8.090000, B
1.044679, 0.003063, 0.000352, 1.912332, 8.060000, B
1.044679, 0.002984, 0.000343, 1.912332, 8.030000, B
1.044679, 0.002779, 0.000289, 1.912332, 8.090000, B
1.044679, 0.002514, 0.000249, 1.912332, 8.100000, B
1.044679, 0.002299, 0.000251, 1.912332, 8.020000, B
1.044679, 0.002095, 0.000266, 1.912332, 7.920000, B
1.044679, 0.001954, 0.000255, 1.912332, 8.130000, B
1.044679, 0.001970, 0.000264, 1.912332, 8.050000, B
1.044679, 0.002029, 0.000259, 1.912332, 8.010000, B
1.044679, 0.001855, 0.000188, 1.912332, 8.130000, B
1.044679, 0.001726, 0.000173, 1.912332, 8.160000, B
1.044679, 0.001610, 0.000185, 1.912332, 8.000000, B
1.044679, 0.001528, 0.000174, 1.912332, 7.970000, B
1.044679, 0.001524, 0.000189, 1.912332, 8.100000, B
1.044679, 0.001399, 0.000156, 1.912332, 8.170000, B
1.044679, 0.001292, 0.000138, 1.912332, 8.060000, B
1.044679, 0.001226, 0.000128, 1.912332, 8.070000, B
